===== adb shell ps -A -o USER,PID,PPID,NAME,ARGS =====
USER           PID  PPID NAME                        ARGS                       
root           192     2 [irq/293-s2mpu]             [irq/293-s2mpu]
root           193     2 [irq/294-s2mpu]             [irq/294-s2mpu]
root           194     2 [irq/295-s2mpu]             [irq/295-s2mpu]
root           195     2 [irq/296-s2mpu]             [irq/296-s2mpu]
root           196     2 [irq/297-s2mpu]             [irq/297-s2mpu]
root           197     2 [irq/298-s2mpu]             [irq/298-s2mpu]
root           198     2 [irq/299-s2mpu]             [irq/299-s2mpu]
root           199     2 [irq/300-s2mpu]             [irq/300-s2mpu]
root           200     2 [irq/301-s2mpu]             [irq/301-s2mpu]
root           201     2 [irq/302-s2mpu]             [irq/302-s2mpu]
root           202     2 [irq/303-s2mpu]             [irq/303-s2mpu]
root           203     2 [irq/304-s2mpu]             [irq/304-s2mpu]
root           204     2 [irq/305-s2mpu]             [irq/305-s2mpu]
root           205     2 [irq/306-s2mpu]             [irq/306-s2mpu]
root           206     2 [irq/307-s2mpu]             [irq/307-s2mpu]
root           207     2 [irq/308-s2mpu]             [irq/308-s2mpu]
root           208     2 [irq/309-s2mpu]             [irq/309-s2mpu]
root           209     2 [irq/310-s2mpu]             [irq/310-s2mpu]
root           210     2 [irq/311-s2mpu]             [irq/311-s2mpu]
root           211     2 [irq/312-s2mpu]             [irq/312-s2mpu]
root           212     2 [irq/313-s2mpu]             [irq/313-s2mpu]
root           213     2 [irq/314-s2mpu]             [irq/314-s2mpu]
root           214     2 [irq/315-s2mpu]             [irq/315-s2mpu]
root           215     2 [irq/316-s2mpu]             [irq/316-s2mpu]
root           216     2 [irq/317-s2mpu]             [irq/317-s2mpu]
root           217     2 [irq/318-s2mpu]             [irq/318-s2mpu]
root           218     2 [irq/319-s2mpu]             [irq/319-s2mpu]
root           219     2 [irq/320-s2mpu]             [irq/320-s2mpu]
root           220     2 [irq/321-s2mpu]             [irq/321-s2mpu]
root           221     2 [irq/322-s2mpu]             [irq/322-s2mpu]
root           222     2 [irq/323-s2mpu]             [irq/323-s2mpu]
root           223     2 [irq/324-s2mpu]             [irq/324-s2mpu]
root           224     2 [irq/325-s2mpu]             [irq/325-s2mpu]
root           225     2 [irq/326-s2mpu]             [irq/326-s2mpu]
root           226     2 [irq/327-s2mpu]             [irq/327-s2mpu]
root           227     2 [irq/328-s2mpu]             [irq/328-s2mpu]
root           228     2 [irq/329-el2_dyn]           [irq/329-el2_dyn]
root           229     2 [kworker/u16:2-kverityd]    [kworker/u16:2-kverityd]
root           230     2 [s2mps24-wqueue]            [s2mps24-wqueue]
root           231     2 [s2mps23-wqueue]            [s2mps23-wqueue]
root           232     2 [irq/409-s2mps23]           [irq/409-s2mps23]
root           233     2 [ufs_perf_0]                [ufs_perf_0]
root           234     2 [SEC_WB_0]                  [SEC_WB_0]
root           235     2 [scsi_eh_0]                 [scsi_eh_0]
root           236     2 [scsi_tmf_0]                [scsi_tmf_0]
root           237     2 [ufs_eh_wq_0]               [ufs_eh_wq_0]
root           238     2 [ufs_clk_gating_]           [ufs_clk_gating_]
root           239     2 [kworker/u16:3-kverityd]    [kworker/u16:3-kverityd]
root           240     2 [kworker/u16:4-kverityd]    [kworker/u16:4-kverityd]
root           241     2 [kworker/u16:5-kverityd]    [kworker/u16:5-kverityd]
root           242     2 [kworker/u16:6-adb]         [kworker/u16:6-adb]
root           243     2 [kworker/4:1H-kblockd]      [kworker/4:1H-kblockd]
root           244     2 [kworker/5:1H-kblockd]      [kworker/5:1H-kblockd]
root           245     2 [kworker/2:1H-kblockd]      [kworker/2:1H-kblockd]
root           246     2 [kworker/1:1H-kblockd]      [kworker/1:1H-kblockd]
root           247     2 [kworker/0:1H-kblockd]      [kworker/0:1H-kblockd]
root           248     2 [sec_audio_dbg_s]           [sec_audio_dbg_s]
root           249     2 [pcie_wq]                   [pcie_wq]
root           250     2 [cpif_tpmon_moni]           [cpif_tpmon_moni]
root           251     2 [typec_manager_e]           [typec_manager_e]
root           252     2 [typec_manager_m]           [typec_manager_m]
root           253     2 [kworker/7:3]               [kworker/7:3]
root           254     2 [thermal_BIG]               [thermal_BIG]
root           255     2 [thermal_hotplug]           [thermal_hotplug]
root           256     2 [thermal_MID]               [thermal_MID]
root           257     2 [thermal_LITTLE]            [thermal_LITTLE]
root           258     2 [thermal_G3D]               [thermal_G3D]
root           259     2 [thermal_ISP]               [thermal_ISP]
root           260     2 [thermal_NPU]               [thermal_NPU]
root           261     2 [thermal_CP]                [thermal_CP]
root           262     2 [simpleinteracti]           [simpleinteracti]
root           263     2 [simpleinteracti]           [simpleinteracti]
root           264     2 [simpleinteracti]           [simpleinteracti]
root           265     2 [simpleinteracti]           [simpleinteracti]
root           266     2 [simpleinteracti]           [simpleinteracti]
root           267     2 [simpleinteracti]           [simpleinteracti]
root           268     2 [simpleinteracti]           [simpleinteracti]
root           269     2 [simpleinteracti]           [simpleinteracti]
root           270     2 [simpleinteracti]           [simpleinteracti]
root           271     2 [simpleinteracti]           [simpleinteracti]
root           272     2 [simpleinteracti]           [simpleinteracti]
root           273     2 [simpleinteracti]           [simpleinteracti]
root           274     2 [esgov:0]                   [esgov:0]
root           275     2 [esgov:4]                   [esgov:4]
root           276     2 [kworker/5:2-events]        [kworker/5:2-events]
root           277     2 [esgov:7]                   [esgov:7]
root           278     2 [g3d_dvfs]                  [g3d_dvfs]
root           279     2 [kworker/u17:1-kbase_pm_poweroff_wait] [kworker/u17:1-kbase_pm_poweroff_wait]
root           280     2 [irq/456-qbt_ipc]           [irq/456-qbt_ipc]
root           281     2 [fingerprint_deb]           [fingerprint_deb]
root           282     2 [spi5]                      [spi5]
root           283     2 [spi7]                      [spi7]
root           284     2 [spi8]                      [spi8]
root           285     2 [disp-det]                  [disp-det]
root           286     2 [err-fg]                    [err-fg]
root           287     2 [conn-det]                  [conn-det]
root           288     2 [panel-condition]           [panel-condition]
root           289     2 [panel-update]              [panel-update]
root           290     2 [evasion-disp-de]           [evasion-disp-de]
root           291     2 [panel-vrr-bridg]           [panel-vrr-bridg]
root           292     2 [usb_tpmon_wq]              [usb_tpmon_wq]
root           293     2 [tz_worker_threa]           [tz_worker_threa]
root           294     2 [tz_worker_threa]           [tz_worker_threa]
root           295     2 [tz_worker_threa]           [tz_worker_threa]
root           296     2 [tz_worker_threa]           [tz_worker_threa]
root           297     2 [tz_worker_threa]           [tz_worker_threa]
root           298     2 [tz_worker_threa]           [tz_worker_threa]
root           299     2 [tz_worker_threa]           [tz_worker_threa]
root           300     2 [tz_worker_threa]           [tz_worker_threa]
root           301     2 [ree_time]                  [ree_time]
root           302     2 [irq/460-1551000]           [irq/460-1551000]
root           303     2 [tz_iwlog_thread]           [tz_iwlog_thread]
root           304     2 [irq/461-1551000]           [irq/461-1551000]
root           305     2 [tz_iwsock]                 [tz_iwsock]
root           306     2 [irq/462-1551000]           [irq/462-1551000]
root           307     2 [irq/463-1551000]           [irq/463-1551000]
root           308     2 [irq/464-1551000]           [irq/464-1551000]
root           309     2 [irq/465-1551000]           [irq/465-1551000]
root           310     2 [irq/466-1551000]           [irq/466-1551000]
root           311     2 [irq/467-1551000]           [irq/467-1551000]
root           312     2 [irq/468-1551000]           [irq/468-1551000]
root           313     2 [irq/469-1551000]           [irq/469-1551000]
root           314     2 [irq/470-1551000]           [irq/470-1551000]
root           315     2 [irq/471-1551000]           [irq/471-1551000]
root           316     2 [jsqz]                      [jsqz]
root           317     2 [abox_ipc]                  [abox_ipc]
root           318     2 [abox_qos]                  [abox_qos]
root           319     2 [dsim0-wq]                  [dsim0-wq]
root           320     2 [kworker/5:3-events]        [kworker/5:3-events]
root           321     2 [kworker/5:4-events]        [kworker/5:4-events]
root           322     2 [kworker/5:5-events]        [kworker/5:5-events]
root           323     2 [panel-bl-thread]           [panel-bl-thread]
root           324     2 [profiler]                  [profiler]
root           325     2 [10ab0000.displa]           [10ab0000.displa]
root           326     2 [10ab0000.displa]           [10ab0000.displa]
root           327     2 [decon0-vsync]              [decon0-vsync]
root           328     2 [decon0-fsync]              [decon0-fsync]
root           329     2 [decon_doze_susp]           [decon_doze_susp]
root           330     2 [decon_doze_wake]           [decon_doze_wake]
root           331     2 [decon_hiber]               [decon_hiber]
root           332     2 [decon_exit_hibe]           [decon_exit_hibe]
root           333     2 [decon0]                    [decon0]
root           334     2 [decon_readback]            [decon_readback]
root           335     2 [decon_hiber]               [decon_hiber]
root           336     2 [decon1]                    [decon1]
root           337     2 [decon2-vsync]              [decon2-vsync]
root           338     2 [decon_hiber]               [decon_hiber]
root           339     2 [decon2]                    [decon2]
root           340     2 [decon3-vsync]              [decon3-vsync]
root           341     2 [decon_hiber]               [decon_hiber]
root           342     2 [decon3]                    [decon3]
root           343     2 [irq/332-tzasc]             [irq/332-tzasc]
root           344     2 [irq/333-tzasc]             [irq/333-tzasc]
root           345     2 [irq/334-tzasc]             [irq/334-tzasc]
root           346     2 [irq/335-tzasc]             [irq/335-tzasc]
root           347     2 [irq/336-ppmpu]             [irq/336-ppmpu]
root           348     2 [irq/337-ppmpu]             [irq/337-ppmpu]
root           349     2 [irq/338-ppmpu]             [irq/338-ppmpu]
root           350     2 [irq/339-ppmpu]             [irq/339-ppmpu]
root           351     2 [exynos_gmc_thre]           [exynos_gmc_thre]
root           352     2 [hwrng]                     [hwrng]
root           353     2 [kworker/4:2-events]        [kworker/4:2-events]
root           354     2 [srpmb_wq]                  [srpmb_wq]
root           356     2 [dhd_rx_pktpool_]           [dhd_rx_pktpool_]
root           357     2 [dhd_watchdog_th]           [dhd_watchdog_th]
root           358     2 [dhd_rpm_state_t]           [dhd_rpm_state_t]
root           359     2 [dhd_logtrace_th]           [dhd_logtrace_th]
root           360     2 [usb_notify]                [usb_notify]
root           361     2 [power-keys-wq0@]           [power-keys-wq0@]
root           362     2 [mfc/inst_migrat]           [mfc/inst_migrat]
root           363     2 [mfc/butler]                [mfc/butler]
root           364     2 [irq/478-186d000]           [irq/478-186d000]
root           365     2 [mfc_core/meerka]           [mfc_core/meerka]
root           366     2 [mfc_core/idle]             [mfc_core/idle]
root           367     2 [mfc_core/butler]           [mfc_core/butler]
root           368     2 [irq/479-188d000]           [irq/479-188d000]
root           369     2 [mfc_core/meerka]           [mfc_core/meerka]
root           370     2 [mfc_core/idle]             [mfc_core/idle]
root           371     2 [mfc_core/butler]           [mfc_core/butler]
root           372     2 [mcfrc]                     [mcfrc]
root           373     2 [irq/379-1896000]           [irq/379-1896000]
root           374     2 [dsp_pm_worker]             [dsp_pm_worker]
root           375     2 [dsp_hw_o1_gover]           [dsp_hw_o1_gover]
root           376     2 [npu_exynos]                [npu_exynos]
root           377     2 [irq/481-ISG5320]           [irq/481-ISG5320]
root           378     2 [fw_update]                 [fw_update]
root           379     2 [irq/524-max7770]           [irq/524-max7770]
root           380     2 [op_wait]                   [op_wait]
root           381     2 [op_send]                   [op_send]
root           382     2 [ccic_irq_event]            [ccic_irq_event]
root           383     2 [max77705_pd]               [max77705_pd]
root           384     2 [max77705-charge]           [max77705-charge]
root           385     2 [irq/526-certify]           [irq/526-certify]
root           386     2 [irq/525-hall]              [irq/525-hall]
root           387     2 [bootc_wq]                  [bootc_wq]
root           388     2 [irq/530-jig-irq]           [irq/530-jig-irq]
root           389     2 [sec_vibrator]              [sec_vibrator]
root           390     2 [bcm477x_wq]                [bcm477x_wq]
root           391     2 [ssp_bbd_on_pack]           [ssp_bbd_on_pack]
root           392     2 [ssp_bbd_mcu_rea]           [ssp_bbd_mcu_rea]
root           393     2 [ssp_debug_wq]              [ssp_debug_wq]
root           394     2 [ssp_batch_wq]              [ssp_batch_wq]
